comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
"Um babaca desse tipo tem a responder um processo sinistro, tirar até as cuecas de um miserável ordinário desses.",1.0,um babaca desse tipo tem a responder um processo sinistro tirar até as cuecas de um miserável ordinário desses,"['um babaca desse tipo', 'tirar até as cuecas', 'miserável', 'ordinário']","['um babaca desse', 'de um miserável ordinário desses']",Um babaca desse tipo; tirar até as cuecas; miserável; ordinário,https://www.instagram.com/tv/B5TgBngnkBN/,Um babaca desse; de um miserável ordinário desses; 
Como pode tamanha falta de respeito ! Canalhas !,1.0,como pode tamanho falta de respeito canalhas,"['falta de respeito', 'canalhas']","['canalhas', 'como pode tamanho falta de respeito']",falta de respeito; Canalhas,https://www.instagram.com/tv/B5TgBngnkBN/,Canalhas; Como pode tamanha falta de respeito; 
Imprensa podre a Ministra Damares é protegida por Deus,1.0,imprensa podre a ministra harpa é protegida por deus,['imprensa podre'],['imprensa podre'],Imprensa podre,https://www.instagram.com/tv/B5TgBngnkBN/,Imprensa podre; 
"Da nojo de jornalista desse nível de escalão, será que ele tem mãe, irmãs etc. não sei quem é porque um lixo desse nem precisamos conhecer.",1.0,da nojo de jornalista desse nível de escalão será que ele tem mãe irmãs etc não sei quem é porque um lixo desse nem precisamos conhecer,"['da nojo', 'um lixo desse nem precisamos conhecer']","['da nojo', 'um lixo desse']",Da nojo; um lixo desse nem precisamos conhecer,https://www.instagram.com/tv/B5TgBngnkBN/,Da nojo; um lixo desse; 
Carta capital é super esquerdista comunista do mal.Somos todos Damares!!!!!!!,1.0,carta capital é super esquerdista comunista do mal somos todos harpa,['super esquerdista comunista do mal'],['comunista do mal'],super esquerdista comunista do mal,https://www.instagram.com/tv/B5TgBngnkBN/,comunista do mal; 
"Calem esses covardes, canalhas com trabalho! Avante Ministra Damares",1.0,calem esses covardes canalhas com trabalho avante ministra harpa,"['calem esses covardes', 'canalhas']","['covardes', 'canalhas']",Calem esses covardes; canalhas,https://www.instagram.com/tv/B5TgBngnkBN/,covardes; canalhas; 
"Me solidarizo com a senhora ministra, esse ser que escreveu é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora.",1.0,me solidarizo com a senhora ministra esse ser que escreveu é completamente desprovido de ética decência índole moral um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora,['é completamente desprovido de ética decência índole moral um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora'],"['desprovido de ética decência índole moral', 'um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora']","é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora",https://www.instagram.com/tv/B5TgBngnkBN/,"desprovido de ética, decência, indoli, moral; um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora; "
"Repugnante essa matéria, esse indivíduo precisa ser processado!",1.0,repugnante essa matéria esse indivíduo precisa ser processado,['repugnante essa matéria'],['repugnante essa matéria'],Repugnante essa matéria,https://www.instagram.com/tv/B5TgBngnkBN/,Repugnante essa matéria; 
Que nível nojento chegou a imprensa esquerdopata. Tá na hora de descarregar processos em cima desses psicopatas,1.0,que nível nojento chegou a imprensa esquerdista está na hora de descarregar processos em cima desses psicopatas,"['que nível nojento', 'esquerdista', 'descarregar processos', 'psicopatas']","['que nível nojento chegou a imprensa esquerdista', 'desses psicopatas']",Que nível nojento; esquerdopata; descarregar processos; psicopatas,https://www.instagram.com/tv/B5TgBngnkBN/,Que nível nojento chegou a imprensa esquerdopata; desses psicopatas; 
"De o nome desse imbecil, machista ,nojento, babaca 🤮🤮🤮, Sra MINISTRA, para q todas nós mulheres possa encher a caixa de mensagem dele de "" boas postagem"""" esse jornalista idiota merece conhecer a força das mulheres. 🤬😡",1.0,de o nome desse imbecil machista nojento babaca senhora ministra para que todas nós mulheres possa encher a caixa de mensagem dele de boas postagem esse jornalista idiota merece conhecer a força das mulheres,"['imbecil', 'machista', 'nojento', 'babaca', 'encher a caixa de mensagem dele de boas postagem', 'jornalista idiota']","['nojento', 'imbecil', 'machista', 'babaca', 'esse jornalista idiota']","imbecil; machista; nojento; babaca; encher a caixa de mensagem dele de "" boas postagem""""; jornalista idiota ",https://www.instagram.com/tv/B5TgBngnkBN/,nojento;  imbecil; machista; babaca; esse jornalista idiota; 
"Carta capital , revestinha de banca, sórdida!",1.0,carta capital revestila de banca sórdida,"['revestila de banca', 'sórdida']","['revestila de banca', 'sórdida']",revestinha de banca; sórdida,https://www.instagram.com/tv/B5TgBngnkBN/,revestinha de banca; sórdida; 
Essa mente na cara dura. devolver o dinheiro roubado dos aposentados nada ,1.0,essa mente na cara dura devolver o dinheiro roubado dos aposentados nada,"['mente na cara dura', 'devolver o dinheiro roubado dos aposentados nada']",['mente na cara dura'],mente na cara dura; devolver o dinheiro roubado dos aposentados nada ,https://www.instagram.com/p/C5ZLiSBPgFa/,mente na cara dura; 
Não gostei do teatrinho dela.,1.0,não gostei do teatrinho dela,['não gostei do teatrinho dela'],['não gostei do teatrinho dela'],Não gostei do teatrinho dela,https://www.instagram.com/tv/B5TgBngnkBN/,Não gostei do teatrinho dela; 
Homem canalha! Sem vergonha #respeitaaministradamares,1.0,homem canalha sem vergonha respeitaaministradamares,"['homem canalha', 'sem vergonha']","['homem canalha', 'sem vergonha']",Homem canalha; Sem vergonha,https://www.instagram.com/tv/B5TgBngnkBN/,Homem canalha; Sem vergonha; 
vamos fazer alguma coisa... acredito plenamente q esse verme nao é humano...gostaria de saber o nome desse fdp,1.0,vamos fazer alguma coisa acredito plenamente que esse verme não é humano gostaria de saber o nome desse filho da puta,"['esse verme não é humano', 'filho da puta']","['esse verme', 'filho da puta']",esse verme nao é humano; fdp,https://www.instagram.com/tv/B5TgBngnkBN/,esse verme; fdp; 
"Ele ataca as pessoas com fama pra ver se aparece Ministra . Atacou o jornalista Augusto Nunes também, apoiando o outro canalha americano.",1.0,ele ataca as pessoas com fama pra ver se aparece ministra atacou o jornalista augusto nunes também apoiando o outro canalha americano,"['ataca', 'canalha americano']",['outro canalha americano'],ataca; canalha americano,https://www.instagram.com/tv/B5TgBngnkBN/,outro canalha americano; 
A imprensa parece as vezes um judas.,1.0,a imprensa parece as vezes um judas,['parece as vezes um judas'],['a imprensa parece as vezes um judas'],parece as vezes um judas,https://www.instagram.com/tv/B5TgBngnkBN/,A imprensa parece as vezes um judas; 
Tudo que esse babaca falou da nossa Ministra ele queria q fosse com ele. Doidinho com uma mamadeira de piroca,1.0,tudo que esse babaca falou da nossa ministra ele queria que fosse com ele doidinho com uma mamadeira de piroca,"['esse babaca', 'doidinho com uma mamadeira de piroca']",['doidinho com uma mamadeira de piroca'],esse babaca; Doidinho com uma mamadeira de piroca,https://www.instagram.com/tv/B5TgBngnkBN/,Doidinho com uma mamadeira de piroca; 
Esses bandidos vão pagar caro. Nossa ministra é uma grande mulher🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏,1.0,esses bandidos vão pagar caro nossa ministra é uma grande mulher,['esses bandidos vão pagar caro'],['esses bandidos vão pagar caro'],Esses bandidos vão pagar caro,https://www.instagram.com/tv/B5TgBngnkBN/,Esses bandidos vão pagar caro; 
Maldita imprensa esquerdopata!,1.0,maldita imprensa esquerdista,['maldita imprensa esquerdista'],['maldita imprensa esquerdista'],Maldita imprensa esquerdopata,https://www.instagram.com/tv/B5TgBngnkBN/,Maldita imprensa esquerdopata; 
E esse verme q escreveu isso deveria ser punido..sem ética e sem moral..um verdadeiro imbecil .,1.0,e esse verme que escreveu isso deveria ser punido sem ética e sem moral um verdadeiro imbecil,"['esse verme', 'deveria ser punido', 'sem ética e sem moral', 'um verdadeiro imbecil']","['esse verme', 'sem ética e sem moral', 'um verdadeiro imbecil']",esse verme; deveria ser punido; sem ética e sem moral; um verdadeiro imbecil,https://www.instagram.com/tv/B5TgBngnkBN/,esse verme; sem ética e sem moral; um verdadeiro imbecil; 
"Ministra, de os nomes pra que todos saibam quem são os covardes e mais, processe-os imediatamente.",1.0,ministra de os nomes pra que todos saibam quem são os covardes e mais processeos imediatamente,['covardes'],['covardes'],covardes,https://www.instagram.com/tv/B5TgBngnkBN/,covardes; 
"Que absurdo estamos vivendo no Brasil! Eu pergunto: não dá para processar esses idiotas por ofensa a moral de uma Ministra? Esperimenta xingar um funcionário público de qualquer porcaria de repartição pública, para ver onde vc vai parar! Então porque não se faz nada quando ofendem o Presidente ou qualquer dos seus auxiliares? Como podemos aceitar isso?",1.0,que absurdo estamos vivendo no brasil eu pergunto não dá para processar esses idiotas por ofensa a moral de uma ministra experimenta xingar um funcionário público de qualquer porcaria de repartição pública para ver onde você vai parar então porque não se faz nada quando ofendem o presidente ou qualquer dos seus auxiliares como podemos aceitar isso,"['idiotas', 'xingar', 'porcaria', 'ver onde você vai parar', 'não se faz nada', 'ofendem']","['esses idiotas', 'de qualquer porcaria', '']",idiotas; xingar; porcaria; ver onde vc vai parar; não se faz nada; ofendem,https://www.instagram.com/tv/B5TgBngnkBN/,esses idiotas; de qualquer porcaria;  
"Demônios esquerdistas, essa carta capital é a escória do jornalismo",1.0,demônios esquerdistas essa carta capital é a escória do jornalismo,"['demônios esquerdistas', 'escória do jornalismo']","['demônios esquerdistas', 'a escória do jornalismo']",Demônios esquerdistas; escória do jornalismo,https://www.instagram.com/tv/B5TgBngnkBN/,Demônios esquerdistas; a escória do jornalismo; 
Manda prender esse babaca!!!!🤬🤬🤬🤬🤬,1.0,manda prender esse babaca,['manda prender esse babaca'],['esse babaca'],Manda prender esse babaca,https://www.instagram.com/tv/B5TgBngnkBN/,esse babaca; 
Chamar um vagabundo desses dd Horn,1.0,chamar um vagabundo desses da horn,['vagabundo'],['vagabundo'],vagabundo,https://www.instagram.com/tv/B5TgBngnkBN/,vagabundo; 
"❤️Ministra Damares a Senhora é uma mulher linda em tudo e abençoada por Deus. Este ser abjeto tentou atingi-la com as imundices peculiares a ele próprio. Continue este exemplo de ser humano iluminado que irradia luz por onde passa ""quem não tem competência, não se estabelece"" que ele aceite logo, talvez doa menos.kkkkkkk",1.0,ministra harpa a senhora é uma mulher linda em tudo e abençoada por deus este ser abjeto tentou atingila com as imundices peculiares a ele próprio continue este exemplo de ser humano iluminado que irradia luz por onde passa quem não tem competência não se estabelece que ele aceite logo talvez doa menos kkk,"['este ser abjeto tentou atingila', 'imundices peculiares']","['este ser abjeto', 'as imundices']",Este ser abjeto tentou atingi-la; imundices peculiares,https://www.instagram.com/tv/B5TgBngnkBN/,Este ser abjeto; as imundices; 
Esses fdp que tinham que ficar em cela com esses criminosos que não vem uma mulher há tempos !!,1.0,esses filho da puta que tinham que ficar em cela com esses criminosos que não vem uma mulher há tempos,"['esses filho da puta', 'ficar em cela com esses criminosos']",['esses filho da puta'],Esses fdp; ficar em cela com esses criminosos,https://www.instagram.com/tv/B5TgBngnkBN/,Esses fdp; 
A esquerda precisa ser criminalizada no Brasil... São demônios! 🤮,1.0,a esquerda precisa ser criminalizada no brasil são demônios,"['a esquerda precisa ser criminalizada no brasil', 'são demônios']",['são demônios'],A esquerda precisa ser criminalizada no Brasil; São demônios,https://www.instagram.com/tv/B5TgBngnkBN/,São demônios; 
Ainda ter retardado que da audiencia a um jornal lixo desses.,1.0,ainda ter retardado que da audiência a um jornal lixo desses,"['retardado', 'jornal lixo']","['retardado', 'um jornal lixo desses']",retardado; jornal lixo,https://www.instagram.com/tv/B5TgBngnkBN/,retardado; um jornal lixo desses; 
Esta revista é podre. Só os ratos dos esgotos mais imundos a leem,1.0,esta revista é podre só os ratos dos esgotos mais imundos a leem,"['podre', 'só os ratos dos esgotos mais imundos a leem']","['só os ratos dos esgotos mais imundos a leem', 'podre']",podre; Só os ratos dos esgotos mais imundos a leem,https://www.instagram.com/tv/B5TgBngnkBN/,Só os ratos dos esgotos mais imundos a leem; podre; 
"As mulheres te respeitam Damaris! Continue firme com seus propósitos, não permite que um cafajeste, um troglodita te faça sentir mal! Ignore pessoas que não merecem sua compaixão.😘",1.0,as mulheres te respeitam damaris continue firme com seus propósitos não permite que um cafajeste um troglodita te faça sentir mal ignore pessoas que não merecem sua compaixão,"['cafajeste', 'troglodita', 'não merecem sua compaixão']","['cafajeste', 'troglodita']",cafajeste; troglodita; não merecem sua compaixão,https://www.instagram.com/tv/B5TgBngnkBN/,cafajeste; troglodita; 
Quem falou isso deve ser um global que não sai do armário 👊 e tem esse desejo👊 nessa hora que tinha que intervir aqui e botar um merda desse no pau. ...,1.0,quem falou isso deve ser um global que não sai do armário e tem esse desejo nessa hora que tinha que intervir aqui e botar um merda desse no pau,"['não sai do armário', 'botar um merda desse no pau']","['não sai do armário', 'botar um merda desse no pau']",não sai do armário; botar um merda desse no pau,https://www.instagram.com/tv/B5TgBngnkBN/,não sai do armário; botar um merda desse no pau; 
Triste ouvir isso de uma mídia podre.....ainda assim vem um jumento perguntar se ela vai sair do governo. MEU CARO JORNAZISTA vai pra pqp.,1.0,triste ouvir isso de uma mídia podre ainda assim vem um jumento perguntar se ela vai sair do governo meu caro jornalista vai pra puta que pariu,"['mídia podre', 'vem um jumento', 'meu caro jornalista vai pra puta que pariu']","['uma mídia podre', 'jornalista', 'vem um jumento perguntar']",mídia podre; vem um jumento; MEU CARO JORNAZISTA vai pra pqp,https://www.instagram.com/tv/B5TgBngnkBN/,uma mídia podre; JORNAZISTA; vem um jumento perguntar; 
"Esse texto faz parte de um plano vídeo de um grupo desesperado ávido por poder com uma dor profunda por ter perdido nas urnas. Um imbecil desses merece um belo processo e uma bela investigação devastando sua vida. Se um jumento desses se diz jornalista, lastimo pela categoria profissional denegrida por esse infame.",1.0,esse texto faz parte de um plano vídeo de um grupo desesperado ávido por poder com uma dor profunda por ter perdido nas urnas um imbecil desses merece um belo processo e uma bela investigação devastando sua vida se um jumento desses se diz jornalista lastimo pela categoria profissional denegrida por esse infame,"['desesperado', 'ávido por poder', 'um imbecil', 'devastando sua vida', 'um jumento desses', 'denegrida', 'infame']","['desesperado', 'ávido por poder', 'imbecil', 'devastando sua vida', 'jumento', 'denegrida', 'infame']",desesperado; ávido por poder; Um imbecil; devastando sua vida; um jumento desses; denegrida; infame,https://www.instagram.com/tv/B5TgBngnkBN/,desesperado; ávido por poder; imbecil; devastando sua vida; jumento; denegrida; infame; 
